donor_type	acceptor_type	donor	acceptor	R0
AlexaFluor	AlexaFluor	700	790	7.031451593055616
AlexaFluor	ATTO	700	550	0.47229112117661237
AlexaFluor	ATTO	700	610	2.4375919059775066
AlexaFluor	ATTO	700	647N	3.064072397589079
AlexaFluor	ATTO	700	Thio12	0.9775536682159671
AlexaFluor	Lumiprobe	700	Cy5	3.346619735230357
AlexaFluor	Lumiprobe	700	Cy5W	3.3919120400210026
AlexaFluor	Lumiprobe	700	Cy55	5.281511096758096
AlexaFluor	Lumiprobe	700	Cy7	7.138041849346683
AlexaFluor	Lumiprobe	700	Cy75	6.878600207578947
AlexaFluor	CF	700	660R	3.851985820544181
AlexaFluor	AlexaFluor	750	660	2.021893091353312
AlexaFluor	AlexaFluor	750	680	2.432824204897018
AlexaFluor	AlexaFluor	750	700	3.452401827272417
AlexaFluor	AlexaFluor	750	750	6.640703867303438
AlexaFluor	AlexaFluor	750	790	7.063898394321444
AlexaFluor	ATTO	750	610	1.0888944461923347
AlexaFluor	Lumiprobe	750	Cy55	2.1408607848029355
AlexaFluor	Lumiprobe	750	Cy7	6.167431913027031
AlexaFluor	Lumiprobe	750	Cy75	6.948787773199146
AlexaFluor	CF	750	660R	0.7366017705872594
ATTO	AlexaFluor	390	405	1.2908331025414952
ATTO	AlexaFluor	390	430	3.8659162439034
ATTO	AlexaFluor	390	488	5.384753610773599
ATTO	AlexaFluor	390	514	5.405979713790898
ATTO	AlexaFluor	390	532	5.250312773848709
ATTO	AlexaFluor	390	546	5.102033996180184
ATTO	AlexaFluor	390	555	5.656153252761841
ATTO	AlexaFluor	390	568	4.896322217414598
ATTO	AlexaFluor	390	594	4.791469523554506
ATTO	AlexaFluor	390	610	4.654968073133677
ATTO	AlexaFluor	390	633	4.465690963745131
ATTO	AlexaFluor	390	635	4.36817885025357
ATTO	AlexaFluor	390	647	4.542498986028632
ATTO	AlexaFluor	390	660	4.985423955315182
ATTO	AlexaFluor	390	680	4.4135973042532015
ATTO	AlexaFluor	390	700	4.364656170593245
ATTO	AlexaFluor	390	750	3.9429419383486546
ATTO	AlexaFluor	390	790	4.032615614597534
ATTO	ATTO	390	390	2.020081115557023
ATTO	ATTO	390	425	4.08442316157804
ATTO	ATTO	390	465	4.817702496867322
ATTO	ATTO	390	488	5.492800496289849
ATTO	ATTO	390	495	5.5078715022096825
ATTO	ATTO	390	520	5.692559219103233
ATTO	ATTO	390	550	5.2521185395693335
ATTO	ATTO	390	610	4.601306111110203
ATTO	ATTO	390	647N	4.145001831999743
ATTO	ATTO	390	Thio12	4.829331688266633
ATTO	Lumiprobe	390	Cy3	5.5874247219246485
ATTO	Lumiprobe	390	Cy3W	5.75273500929407
ATTO	Lumiprobe	390	Cy3b	5.725284061291977
ATTO	Lumiprobe	390	Cy5	4.561151753710777
ATTO	Lumiprobe	390	Cy5W	4.622881227558882
ATTO	Lumiprobe	390	Cy55	4.339203989487054
ATTO	Lumiprobe	390	Cy7	3.959702762727485
ATTO	Lumiprobe	390	Cy75	3.4690399391332463
ATTO	CF	390	660R	3.857816638151627
ATTO	AlexaFluor	425	405	0.5553227892132878
ATTO	AlexaFluor	425	430	3.588562325197163
ATTO	AlexaFluor	425	488	5.5068909024553045
ATTO	AlexaFluor	425	514	5.603671164454877
ATTO	AlexaFluor	425	532	5.495757501470716
ATTO	AlexaFluor	425	546	5.375613394031243
ATTO	AlexaFluor	425	555	5.947600998828341
ATTO	AlexaFluor	425	568	5.19544213347433
ATTO	AlexaFluor	425	594	5.072423103111803
ATTO	AlexaFluor	425	610	4.963611629893582
ATTO	AlexaFluor	425	633	4.78143416387767
ATTO	AlexaFluor	425	635	4.636329728323772
ATTO	AlexaFluor	425	647	4.871488934746835
ATTO	AlexaFluor	425	660	5.271686372971813
ATTO	AlexaFluor	425	680	4.721739596869621
ATTO	AlexaFluor	425	700	4.622323893575949
ATTO	AlexaFluor	425	750	4.267159497661274
ATTO	AlexaFluor	425	790	4.140910590395531
ATTO	ATTO	425	390	1.7019866917508157
ATTO	ATTO	425	425	3.3462914128408974
ATTO	ATTO	425	465	4.194526300103815
ATTO	ATTO	425	488	5.6153408943712995
ATTO	ATTO	425	495	5.589880870095288
ATTO	ATTO	425	520	5.8967176980046485
ATTO	ATTO	425	550	5.534357546361782
ATTO	ATTO	425	610	4.910007504782806
ATTO	ATTO	425	647N	4.422862485138395
ATTO	ATTO	425	Thio12	5.108664146626712
ATTO	Lumiprobe	425	Cy3	5.875570086118348
ATTO	Lumiprobe	425	Cy3W	6.049405480371469
ATTO	Lumiprobe	425	Cy3b	6.005935682133714
ATTO	Lumiprobe	425	Cy5	4.893086757110661
ATTO	Lumiprobe	425	Cy5W	4.9593085553141165
ATTO	Lumiprobe	425	Cy55	4.658101952454475
ATTO	Lumiprobe	425	Cy7	4.287410898679419
ATTO	Lumiprobe	425	Cy75	3.805067310795816
ATTO	CF	425	660R	4.1317616297639015
ATTO	AlexaFluor	465	405	0.3418738819991303
ATTO	AlexaFluor	465	430	3.0611287217527265
ATTO	AlexaFluor	465	488	5.147614509928683
ATTO	AlexaFluor	465	514	5.473080109879812
ATTO	AlexaFluor	465	532	5.532201224163912
ATTO	AlexaFluor	465	546	5.6079963059918505
ATTO	AlexaFluor	465	555	6.10094275289787
ATTO	AlexaFluor	465	568	5.499047553750917
ATTO	AlexaFluor	465	594	5.40247050330045
ATTO	AlexaFluor	465	610	5.389720993184377
ATTO	AlexaFluor	465	633	5.259237965076116
ATTO	AlexaFluor	465	635	5.077301380251026
ATTO	AlexaFluor	465	647	5.4107381339861895
ATTO	AlexaFluor	465	660	5.641342719465331
ATTO	AlexaFluor	465	680	5.200336130993699
ATTO	AlexaFluor	465	700	5.094342852470519
ATTO	AlexaFluor	465	750	4.761692953860626
ATTO	AlexaFluor	465	790	4.387028475784663
ATTO	ATTO	465	390	1.6659471865524438
ATTO	ATTO	465	425	2.596896979229491
ATTO	ATTO	465	465	3.322001498467689
ATTO	ATTO	465	488	5.245397834473781
ATTO	ATTO	465	495	5.161418485374381
ATTO	ATTO	465	520	5.736657801786393
ATTO	ATTO	465	550	5.73255711766668
ATTO	ATTO	465	610	5.3490424707909145
ATTO	ATTO	465	647N	4.8835071900193485
ATTO	ATTO	465	Thio12	5.439043535863618
ATTO	Lumiprobe	465	Cy3	6.023802034205228
ATTO	Lumiprobe	465	Cy3W	6.202023038494297
ATTO	Lumiprobe	465	Cy3b	6.13425538761659
ATTO	Lumiprobe	465	Cy5	5.433413785181454
ATTO	Lumiprobe	465	Cy5W	5.506948232678279
ATTO	Lumiprobe	465	Cy55	5.2045495031104165
ATTO	Lumiprobe	465	Cy7	4.694836380635822
ATTO	Lumiprobe	465	Cy75	4.272807953310642
ATTO	CF	465	660R	4.571103595954086
ATTO	AlexaFluor	488	430	2.498276936832204
ATTO	AlexaFluor	488	488	4.7994263570291
ATTO	AlexaFluor	488	514	5.716214606966972
ATTO	AlexaFluor	488	532	5.901310691624707
ATTO	AlexaFluor	488	546	5.953382148814468
ATTO	AlexaFluor	488	555	6.491503780652231
ATTO	AlexaFluor	488	568	5.801988162786127
ATTO	AlexaFluor	488	594	5.633775791583067
ATTO	AlexaFluor	488	610	5.535602668777639
ATTO	AlexaFluor	488	633	5.336479100844449
ATTO	AlexaFluor	488	635	5.12204654016459
ATTO	AlexaFluor	488	647	5.370039516784096
ATTO	AlexaFluor	488	660	5.74647667277379
ATTO	AlexaFluor	488	680	5.204748094847212
ATTO	AlexaFluor	488	700	4.999589232086035
ATTO	AlexaFluor	488	750	4.582380818538809
ATTO	AlexaFluor	488	790	4.234650845190022
ATTO	ATTO	488	390	1.71437637127731
ATTO	ATTO	488	425	1.850170854947325
ATTO	ATTO	488	465	2.3494389281768595
ATTO	ATTO	488	488	4.823799447194821
ATTO	ATTO	488	495	4.661380140261882
ATTO	ATTO	488	520	5.9479846243317676
ATTO	ATTO	488	550	6.094786728368627
ATTO	ATTO	488	610	5.461542394802423
ATTO	ATTO	488	647N	4.851982973548232
ATTO	ATTO	488	Thio12	5.703665528781495
ATTO	Lumiprobe	488	Cy3	6.405887622419665
ATTO	Lumiprobe	488	Cy3W	6.595413061494154
ATTO	Lumiprobe	488	Cy3b	6.502949794971599
ATTO	Lumiprobe	488	Cy5	5.421512054545522
ATTO	Lumiprobe	488	Cy5W	5.494885427031098
ATTO	Lumiprobe	488	Cy55	5.121115311341103
ATTO	Lumiprobe	488	Cy7	4.677557636392678
ATTO	Lumiprobe	488	Cy75	4.154803566221791
ATTO	CF	488	660R	4.540024563269937
ATTO	AlexaFluor	495	430	1.8916011890317894
ATTO	AlexaFluor	495	488	3.5515803495682685
ATTO	AlexaFluor	495	514	4.284249705924782
ATTO	AlexaFluor	495	532	4.539181677370483
ATTO	AlexaFluor	495	546	4.7580261638332235
ATTO	AlexaFluor	495	555	5.09141106764132
